area_sqft,bedrooms,age_years,neighborhood,price
1500.6150766787414,2,6,West,343941.6318007378
1649.372768754235,4,24,North,370798.23352077947
1362.9310723188912,3,34,North,359633.8352680241
1054.704080621363,3,4,Central,332463.8441355035
1272.6646074141388,1,37,West,294431.1573880685
1004.1767225017688,1,33,North,249622.57229689215
1530.0718012987193,5,5,West,435193.98493769584
2170.107622777267,5,15,Central,610100.2397902466
1253.8967407243351,3,28,East,302691.8358729423
1189.76255009003,3,36,North,314689.40308478277
1744.9210250925992,1,36,West,319026.12564310525
1678.4435040800304,4,4,North,424672.0427767973
1552.7071244989493,4,2,Central,481442.14248655766
1034.7659776458977,3,22,West,315511.870848892
1485.3740887683632,2,10,East,385703.5277108872
1847.651597229144,1,4,Central,546638.9928244253
827.8927263574591,5,20,Central,323207.950291667
1271.1921194798908,2,35,North,302542.13364770205
549.388630099578,4,24,East,207129.06590228164
855.231130107512,1,25,West,211232.8589569411
579.1324811041338,4,27,Central,244874.1333085861
1382.4544344626593,1,10,North,318508.57897208555
866.2767592781483,4,29,West,268135.0371661189
1635.6321794108508,2,43,West,293675.69825499126
1578.3755433121125,3,4,Central,467383.5228338769
1406.5345276850228,3,30,East,262568.31505619205
450.0,3,18,West,207240.098392024
1230.6535520766818,2,15,Central,329500.13691539015
1475.749527299464,2,6,North,409760.6326445091
1556.6544930016537,2,38,North,293334.47221176396
734.9321172473033,4,19,West,220218.63925516352
1261.1233619830346,5,17,West,375446.9504461498
1010.7404609716802,2,43,East,177319.2120816392
1095.5813802872003,1,42,East,209142.47187772184
2030.4493116930394,1,4,Central,494775.69965966005
1096.2326623340518,1,13,East,190157.80700767195
1483.7391475272398,4,13,North,404496.1231833041
1942.194933691587,5,44,West,423651.86838282284
1208.199783628349,2,1,Central,348401.79485743423
1444.1490252079202,3,2,East,379336.6683120731
1555.2320716247402,3,37,East,294694.7594135691
1531.890887127531,3,33,East,291578.99910811434
887.4720867911533,5,18,West,273113.22169092024
1538.0701151885041,2,13,West,342319.82183562557
2179.4117108707687,4,0,North,609170.0575497984
726.4276609357588,3,19,North,194277.19171568574
1929.6913440107992,5,24,North,486649.18556882074
1559.6770128482906,2,28,Central,424210.69646230974
1179.2648029463894,5,15,North,289993.2067618874
2500.2082731712117,5,2,North,551961.9238746571
1881.1298560423559,3,11,East,439269.4516027378
900.3555489473883,5,10,East,260116.86803512473
1537.2581143857317,4,43,West,342127.055593368
1788.3447918350926,2,4,West,456943.75064146833
1405.6089373246255,5,36,East,305017.11787173216
1841.455133597603,1,33,East,321935.67765319
1466.7413399252923,1,21,North,262996.50354804256
1833.623780417164,5,9,North,480822.15259987355
2219.261295828076,4,4,North,512312.2575873471
1162.1688744971736,2,22,West,290181.1117632653
1601.5693051948044,5,35,West,374223.2996284614
1268.3462117307924,4,14,North,314226.55316251627
1563.6342056129154,2,35,East,364352.2625244305
906.4027360749301,5,10,Central,378118.227677064
1210.3492017486633,5,13,Central,418859.25172263704
1401.9020135977516,4,42,East,258198.6649005488
1949.3819360502039,4,26,North,441118.93030181306
2072.611003727066,5,22,North,476699.0399564985
838.2361037578725,5,25,West,239248.50360096132
1102.6788170064751,3,29,Central,290045.5608825774
1823.4517112867109,4,25,East,411143.4597100474
503.7901079127528,5,31,East,174240.2746887603
1268.4150675238166,1,10,North,340933.802352364
1451.3565371649554,3,36,East,287008.9006510367
2128.50748864341,5,0,Central,616219.3583190099
1844.7019502853777,2,11,West,425655.0852646497
1336.393289888901,4,14,West,265534.2228043756
1315.7120529500205,3,3,Central,388646.19482621213
1374.9022997410375,3,36,East,287097.8443742846
2261.76470022808,2,21,West,503968.59897056065
1285.9875287135665,4,32,Central,352426.24940083607
1348.1598058176353,4,7,West,354825.39892985945
1676.2945336426326,4,44,North,353267.05553296884
1439.6147774567723,5,0,North,441899.18599384144
1401.3578860171388,2,28,West,298410.013943244
942.9664284244718,1,41,North,199115.6177395929
1494.2392659807258,3,39,Central,352027.19384906656
1278.2093885127904,1,28,East,280984.0872258814
2083.0638880951115,4,44,East,393346.9406289182
1826.5442513505818,2,18,North,373968.320679493
1487.9281934950338,4,15,East,376067.1365770044
1834.190511633672,3,6,Central,472143.2542985723
1330.0652241434252,3,31,East,300671.49608866096
2026.0631792134734,5,34,West,454574.6109911126
1497.3002196641867,4,2,West,433535.7477027797
1791.691177090207,5,23,Central,508481.8685673018
854.5533773382564,2,27,West,200695.95300840595
1673.3400244392149,5,7,North,445242.9667240371
655.8979413167292,2,22,Central,208469.95750182157
482.3355275300338,4,44,North,214528.6970318911
1347.7615611442814,1,35,North,312107.0896440148
1050.0361962007023,4,42,West,288988.89600301674
1582.0263978561113,5,23,North,395884.7341298243
2622.3783132430244,2,41,East,425641.87200864643
1084.1384092939593,1,43,East,249275.6013483646
1188.028206778047,2,37,North,281098.464449283
1602.7019730323495,1,19,Central,411268.3983872506
1746.5066457061782,1,23,West,371902.5579484902
1411.796967047121,3,20,North,378404.6929376057
1397.0348348733917,5,13,North,407075.0946341141
1851.2314775602722,3,25,North,379249.41203807015
1759.9538185169492,2,29,East,390398.72189443675
983.1620839631556,2,37,Central,261584.75244280935
1460.409340692079,1,6,Central,391760.19323500345
1517.6434243307372,2,23,West,393010.46155049396
972.7576889754448,2,27,West,266249.3538071245
1629.9195503371816,3,27,East,339490.35472071974
1071.021761411728,2,2,West,245137.04402483877
1986.0333539585213,3,33,North,441004.95506062923
1596.3729563025363,4,0,West,434524.9420086056
1544.653242884525,1,28,West,323498.25223940593
1204.485823571863,1,32,North,241803.84734137094
1440.695088061153,2,13,East,307001.0014501278
501.1268535464726,2,15,Central,195040.5661906625
934.2962647384708,1,12,North,274363.7423130257
1681.419899594377,5,31,East,398030.99102529546
450.0,1,9,Central,254311.96934257334
1923.3042607405816,5,35,West,401611.4089381278
626.9517623130456,1,13,West,199367.3169009196
1878.369251332134,4,37,North,437736.7127970516
1077.2514835603379,2,43,North,232784.5354724874
1889.4955421712307,3,27,Central,460606.4983314579
1565.4756037923999,3,0,North,485674.2221157948
731.5825298542557,2,38,Central,237780.6331288979
2124.5743747792276,1,34,West,443089.2833066357
2220.853577761306,5,29,West,473404.34753583506
1467.0975469998964,4,40,Central,379994.79396717006
1363.0418639138397,4,41,Central,307302.4589149944
1420.0665170146817,4,20,Central,405759.54595003196
1012.423838610627,3,40,Central,323942.5107375901
2049.293379878459,5,23,East,515193.29883219907
1228.5540341349065,1,1,Central,410096.1868060136
1474.4047936541617,4,23,Central,431226.51735452126
1103.3517983984782,2,12,West,290075.4947563032
1186.9634501399014,4,33,East,254319.5299536392
861.1374241744147,2,17,North,252290.90353576778
2128.5346568571963,3,33,Central,514478.6458103857
1422.9562133969935,2,11,East,307663.0493750157
1982.9608093644044,3,37,North,456411.8920430617
1506.66229845663,1,7,East,312542.42148768046
1152.7982361485529,4,9,West,271162.3741125945
1336.657369998874,3,39,North,281352.069034259
1219.8844747485502,5,33,Central,309118.3640986782
1503.9795495924568,3,1,East,333226.3483640687
1312.366580161522,1,20,West,333628.15381749754
1350.0391420291007,2,8,North,352852.29333774565
810.7126579320432,3,39,North,226232.12317726156
1096.5770361894397,2,34,East,267444.3881458427
2327.0287744002153,2,34,West,500803.0859773041
1164.3833918741414,2,10,North,307629.22371004394
972.9531061882536,4,32,North,311523.7328545017
1668.6631662875154,2,11,Central,455753.98686283326
2203.636099778266,1,27,Central,498136.1147883408
772.987848759396,4,43,East,195135.84114622997
1395.7390758743647,4,35,West,277485.5397000368
1183.973723032546,3,34,North,270412.36688801425
619.4902628362986,4,7,North,251566.5226252558
1867.4633546291957,1,20,North,435097.31599810877
1488.2780407225778,1,25,North,330287.7256363582
1535.7209221463027,4,6,West,393131.5986340356
1123.8442637772055,4,28,West,314355.78398020676
